Year,Imports,Exports
1700,70,34
1701.25,70.75,38
1702.5,72,40
1705,75,43
1706,77,45
1707.5,80,50
1710,82,60
1712.5,84,70
1714,86,76
1715,88,78
1716,90,77
1717.5,92,76
1720,97,75
1722.5,100,72.5
1725,102,71
1727.5,101,70
1728.5,100,69
1730,97,65
1732.5,95,62
1735,94,61
1737.5,94,62
1740,94.5,66
1742.5,94,70
1745,93.5,73
1747.5,92,75
1749,90.6,77
1750,90,78
1751.25,88.5,79
1752.5,86.5,80
1753.75,84,81
1755,80,83
1756,79,84
1757,78.5,88
1757.5,78,92
1758,78,100
1760,78.5,120
1762.5,78,130
1765,80,148
1767.5,83,160
1770,84,165
1771,86,167
1772,90,170
1774,92,175
1775,93,180
1777.5,94,183
1780,95,186
